Model,sido_name,sido_cd,MSE,MAE,R2
RandomForest,경기도,31,5.491804575163399,1.1523529411764706,0.7912287122598938
RandomForest,인천광역시,23,0.9508718954248367,0.39705882352941174,0.5340194230447162
RandomForest,경상남도,38,2.126823202614379,0.7368954248366013,0.6169369194104035
RandomForest,울산광역시,26,0.3545450980392157,0.2826143790849673,0.28748557079389614
RandomForest,광주광역시,24,0.5894522875816992,0.36568627450980395,0.4165605606706061
RandomForest,대전광역시,25,0.32449901960784316,0.3072875816993464,-0.010804730538922058
RandomForest,강원특별자치도,32,0.7545669934640523,0.49062091503267974,0.3554585385878489
RandomForest,제주특별자치도,39,1.2365042483660131,0.5011437908496733,0.3100698872574724
RandomForest,부산광역시,21,0.9013565359477125,0.40669934640522876,0.5709951019910233
RandomForest,서울특별시,11,2.437638888888889,0.6627124183006535,0.6501689682126107
RandomForest,전라남도,36,2.4179264705882355,0.7719934640522876,0.5919609361623901
RandomForest,세종특별자치시,29,0.10996895424836602,0.1588562091503268,0.25318733681462147
RandomForest,경상북도,37,1.7820395424836604,0.6673529411764705,0.5363176341127922
RandomForest,전북특별자치도,35,1.0435977124183007,0.5472875816993465,0.6265518300116562
RandomForest,대구광역시,22,0.4861039215686274,0.35986928104575167,0.20078615676359046
RandomForest,충청북도,33,0.9691725490196078,0.47751633986928105,0.5212349271164712
RandomForest,충청남도,34,1.593324183006536,0.6166013071895425,0.6152373083826775
XGBoost,경기도,31,5.119189116442678,1.0612416058425713,0.8053937117758645
XGBoost,인천광역시,23,1.1225000549228425,0.4296459280581402,0.4499119957777421
XGBoost,경상남도,38,2.263556624419772,0.7764698097463206,0.5923098015042487
XGBoost,울산광역시,26,0.37628130582370045,0.2777547004098701,0.24380322468808602
XGBoost,광주광역시,24,0.5083558747190446,0.35349905953217176,0.4968297302862289
XGBoost,대전광역시,25,0.42340360184710196,0.31951163056962045,-0.31888954299917605
XGBoost,강원특별자치도,32,0.9817649749600473,0.4970391661330473,0.16138893271885613
XGBoost,제주특별자치도,39,1.2777656029174647,0.5167698110107106,0.28704736142692167
XGBoost,부산광역시,21,1.0713088219542966,0.4184364908195277,0.4901055092307214
XGBoost,서울특별시,11,2.512600616517894,0.6341967322099711,0.6394110423194226
XGBoost,전라남도,36,2.404995299561209,0.8049805353226724,0.5941431459956396
XGBoost,세종특별자치시,29,0.22353620385791048,0.19963827948673746,-0.5180617917347914
XGBoost,경상북도,37,1.6699199751874958,0.6546828242375864,0.5654908735313064
XGBoost,전북특별자치도,35,0.9982586395265369,0.5189325584648816,0.6427762751200703
XGBoost,대구광역시,22,0.3997641622083385,0.32024440528814274,0.3427391998079088
XGBoost,충청북도,33,0.9761376131780702,0.4680118157047652,0.5177942297372089
XGBoost,충청남도,34,1.6561160361707714,0.626925900780894,0.6000740649619181
