Model,Class,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0,0.759515570934256,0.8727319192435472,0.8550325488232349,0.8637915770835969,3994.0
Decision Tree,1,0.759515570934256,0.42831379621280435,0.4549808429118774,0.44124477473293083,1044.0
Decision Tree,2,0.759515570934256,0.28346456692913385,0.3130434782608696,0.2975206611570248,115.0
Decision Tree,3,0.759515570934256,0.4716981132075472,0.5102040816326531,0.49019607843137253,49.0
Random Forest,0,0.8458285274894272,0.8912379610054029,0.9499248873309964,0.9196461035026057,3994.0
Random Forest,1,0.8458285274894272,0.6549707602339181,0.5363984674329502,0.5897840968931015,1044.0
Random Forest,2,0.8458285274894272,0.4,0.17391304347826086,0.24242424242424243,115.0
Random Forest,3,0.8458285274894272,0.65,0.5306122448979592,0.5842696629213483,49.0
SVM,0,0.8464052287581699,0.886924150767799,0.9544316474712068,0.9194404245055475,3994.0
SVM,1,0.8464052287581699,0.6534422403733956,0.5363984674329502,0.5891635981062598,1044.0
SVM,2,0.8464052287581699,1.0,0.0,0.0,115.0
SVM,3,0.8464052287581699,0.6595744680851063,0.6326530612244898,0.6458333333333333,49.0
XGBoost,0,0.8431372549019608,0.8938746438746439,0.942663995993991,0.9176212527418961,3994.0
XGBoost,1,0.8431372549019608,0.645381984036488,0.5421455938697318,0.5892764185320145,1044.0
XGBoost,2,0.8431372549019608,0.4142857142857143,0.25217391304347825,0.31351351351351353,115.0
XGBoost,3,0.8431372549019608,0.6046511627906976,0.5306122448979592,0.5652173913043479,49.0
