Model,Class,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0,0.7787389465590158,0.8770012706480305,0.8633975481611208,0.8701462430660615,3997.0
Decision Tree,1,0.7787389465590158,0.4852173913043478,0.512396694214876,0.4984368021438142,1089.0
Decision Tree,2,0.7787389465590158,0.358695652173913,0.3548387096774194,0.3567567567567568,93.0
Decision Tree,3,0.7787389465590158,0.36,0.391304347826087,0.37499999999999994,23.0
Random Forest,0,0.8489042675893888,0.8873503872330439,0.9459594696022017,0.9157180915475902,3997.0
Random Forest,1,0.8489042675893888,0.6782902137232846,0.5537190082644629,0.6097067745197169,1089.0
Random Forest,2,0.8489042675893888,0.6285714285714286,0.23655913978494625,0.34375,93.0
Random Forest,3,0.8489042675893888,0.5882352941176471,0.43478260869565216,0.5,23.0
SVM,0,0.8408304498269896,0.8818457236075506,0.9467100325243933,0.9131274131274132,3997.0
SVM,1,0.8408304498269896,0.6502793296089385,0.5344352617079889,0.5866935483870968,1089.0
SVM,2,0.8408304498269896,1.0,0.0,0.0,93.0
SVM,3,0.8408304498269896,0.5,0.34782608695652173,0.41025641025641024,23.0
XGBoost,0,0.8469819300269127,0.8884959924563886,0.9429572179134351,0.9149168588420926,3997.0
XGBoost,1,0.8469819300269127,0.6757062146892655,0.549127640036731,0.6058763931104356,1089.0
XGBoost,2,0.8469819300269127,0.5357142857142857,0.3225806451612903,0.40268456375838924,93.0
XGBoost,3,0.8469819300269127,0.47368421052631576,0.391304347826087,0.42857142857142855,23.0
