sido_cd,model,mae,mse,r2
31,RandomForest,1.1477777777777778,5.327202614379084,0.7974860658942345
23,RandomForest,0.4136928104575163,1.0266722222222222,0.4968730101741753
38,RandomForest,0.746764705882353,2.2671186274509805,0.5916682475412642
26,RandomForest,0.2832679738562091,0.4008117647058823,0.1945053892215571
24,RandomForest,0.3657516339869281,0.5812771241830065,0.4246523313707044
25,RandomForest,0.2637254901960784,0.2468039215686274,0.2312131736526947
32,RandomForest,0.4701307189542484,0.6682032679738561,0.4292293267651889
39,RandomForest,0.5125490196078432,1.246329411764706,0.3045877580206892
21,RandomForest,0.4245098039215687,1.124950326797386,0.4645745817935984
11,RandomForest,0.6686274509803921,2.691645098039216,0.6137159666492964
36,RandomForest,0.8088562091503267,2.594300980392157,0.5621967184574155
29,RandomForest,0.1227777777777778,0.1080683006535947,0.266094908616188
37,RandomForest,0.6197058823529411,1.4741885620915034,0.6164197123921469
35,RandomForest,0.5164705882352942,0.9643888888888889,0.6548964592131161
22,RandomForest,0.2616666666666666,0.2790669934640523,0.5411799936788875
33,RandomForest,0.469673202614379,0.9279006535947713,0.5416229808651062
34,RandomForest,0.6338235294117647,1.635474183006536,0.6050587473436629
31,XGBoost,1.2923922752695207,7.157101980284724,0.7279223203659058
23,XGBoost,0.4677166347534093,1.174686986423074,0.4243375062942505
38,XGBoost,0.8890761120999658,3.4556411009022097,0.3776029944419861
26,XGBoost,0.3008545954043869,0.4667811307573649,0.0619295835494995
24,XGBoost,0.3890740431968261,0.6718763452118484,0.3349772095680237
25,XGBoost,0.277578606366553,0.284445327641923,0.1139612197875976
32,XGBoost,0.4751129880664699,0.7199141809137088,0.3850585222244262
39,XGBoost,0.5285107946281855,1.3195420665587074,0.2637374997138977
21,XGBoost,0.4701162170598038,1.5226869610740623,0.2752699851989746
11,XGBoost,0.6492237167310116,2.2526791954458925,0.6767129898071289
36,XGBoost,0.8055536248386393,2.599176219261151,0.5613740086555481
29,XGBoost,0.1267234279636054,0.1172290494399981,0.2038832306861877
37,XGBoost,0.6592589782838545,1.593416352416376,0.585396945476532
35,XGBoost,0.5610440204634668,1.2021450137592118,0.5698161125183105
22,XGBoost,0.2529764141373068,0.3700842526145518,0.3915365934371948
33,XGBoost,0.5175138486314715,1.259254229980706,0.3779364228248596
34,XGBoost,0.6418453702528876,1.8079000944432235,0.5634206533432007
31,RNN,1.7570263977737317,11.397331504884518,0.5857082009315491
23,RNN,0.5871913382144208,2.086052635303489,0.3677049279212951
38,RNN,1.1645958923762387,3.9009047645470414,0.0582004189491272
26,RNN,0.4453779634690717,0.7607615183810889,0.1661323308944702
24,RNN,0.4615113638685678,0.6299055796320047,-0.0383703708648681
25,RNN,0.3835041703919115,0.375775861611729,-0.1464710235595703
32,RNN,0.688061353375539,1.22980969260122,-0.2007359266281128
39,RNN,0.5875309861753837,1.190743170822642,-0.1468352079391479
21,RNN,0.6376226180273019,1.3821495503021417,-0.4889440536499023
11,RNN,0.829381863039491,4.322804784691757,0.6230128407478333
36,RNN,1.0036059823809285,2.744398984359422,0.2513385415077209
29,RNN,0.2117238012526688,0.1336844695455931,-0.4566150903701782
37,RNN,0.9937584421815652,2.570582809645421,-0.0057387351989746
35,RNN,0.7984911746594427,2.068883376722331,-0.1365339756011963
22,RNN,0.4526380864294744,0.7091370434219139,-0.3092255592346191
33,RNN,0.6773250094452018,1.4434580256686838,0.0759449005126953
34,RNN,0.7774050054555335,1.970151105681368,0.354543387889862
31,LSTM,1.483878306558866,10.253304070215616,0.6272934675216675
23,LSTM,0.5743595694157944,2.2612865087480563,0.3145904541015625
38,LSTM,1.049949212423941,3.541585600197018,0.1449511647224426
26,LSTM,0.34431634379955,0.506680921133041,0.4446290731430053
24,LSTM,0.4013700178327198,0.5554071280144981,0.0844369530677795
25,LSTM,0.3443564513802725,0.351586108007327,-0.0726693868637085
32,LSTM,0.5394859282782443,1.017858684697115,0.0062043070793151
39,LSTM,0.4959359914156617,0.9447560670082398,0.0900811553001403
21,LSTM,0.3996212963359092,0.6822456091160389,0.265039324760437
11,LSTM,0.6574550930705696,1.93125936809346,0.831576943397522
36,LSTM,0.8242057244487033,2.391737318580693,0.3475432395935058
29,LSTM,0.1609344364331402,0.1156086950361105,-0.2596628665924072
37,LSTM,0.8636844977429106,2.3609922877874068,0.0762635469436645
35,LSTM,0.6980086760655954,1.711263087682235,0.0599234700202941
22,LSTM,0.3109800901368457,0.3750660180745416,0.3075443506240845
33,LSTM,0.5951680769658226,1.2326321738248969,0.2109087705612182
34,LSTM,0.7204611097637674,2.076286354593788,0.3197716474533081
