Sido,Model,MAE,MSE,R2
31,RandomForest,1.2667211328976034,8.136947385620916,0.7382109182205476
31,XGBoost,1.281538348480367,8.783301306228385,0.7174158471255332
23,RandomForest,0.3914161220043572,0.948030936819172,0.525855407245982
23,XGBoost,0.41160858446751947,0.9255691329321774,0.5370893685471322
38,RandomForest,0.8752287581699347,2.731905446623094,0.6392727228627513
38,XGBoost,0.8016340067039925,2.5959156954888463,0.6572291322640599
26,RandomForest,0.2805555555555555,0.41820642701525057,0.4810673460463021
26,XGBoost,0.2820027758077621,0.43612328732612365,0.4588351581337524
24,RandomForest,0.336917211328976,0.45169575163398695,0.4754190109090509
24,XGBoost,0.34405445561416204,0.5535565016736366,0.3571220979714159
25,RandomForest,0.3123202614379085,0.4003251633986928,0.2696429155950433
25,XGBoost,0.3262839287977,0.4547696783999324,0.17031381796710954
32,RandomForest,0.5341830065359477,1.0497019607843137,0.34510079155672824
32,XGBoost,0.5275451086741739,1.6000167095934907,0.0017645810379781635
39,RandomForest,0.5008932461873637,1.0377453159041394,0.29263740994508725
39,XGBoost,0.4739955474493451,1.0426130248281256,0.289319413574172
21,RandomForest,0.4416448801742919,1.2432574074074074,0.5255198560423233
21,XGBoost,0.4328004784118902,1.2992713378969838,0.504142547012046
11,RandomForest,0.681884531590414,2.3931123093681914,0.6695700651165809
11,XGBoost,0.6822498405362316,3.258932611653061,0.5500215821704282
36,RandomForest,0.7306644880174292,2.256722549019608,0.6248042184696394
36,XGBoost,0.7550642750921251,2.246478187502021,0.6265074146501093
29,RandomForest,0.2135729847494553,0.1953505446623094,-0.5611371170094734
29,XGBoost,0.1926540957382176,0.2753843804382442,-1.200724745815092
37,RandomForest,0.7046078431372548,1.8556042483660131,0.6267421583407646
37,XGBoost,0.6845707195233462,1.779882503946176,0.6419737115740085
35,RandomForest,0.5672984749455338,1.2252479302832244,0.6052665100036125
35,XGBoost,0.5282926961912369,1.1628606161196333,0.6253655949664436
22,RandomForest,0.4959150326797386,1.0290970588235293,-0.21795661506441277
22,XGBoost,0.38462140656316907,0.8521653888829419,-0.008554502823525212
33,RandomForest,0.49184095860566446,1.185640631808279,0.5558916629663855
33,XGBoost,0.48287458933863486,1.3167964161174948,0.5067643172097971
34,RandomForest,0.5800980392156863,1.3921469498910675,0.6171877072160319
34,XGBoost,0.5933260739366788,1.4892032876713475,0.5904991746600461
